"vcIDProd";"vcCodigoBarras";"vcPLU";"vcTipoProducto";"intIdUnidMed";"intIDMarca";"vcDescProd";"vcNombCorto";"dteFecUltCompra";"dteFecUltVenta";"dteFechAlta";"vcOperacion";"dteFechaOperacion"
"                    38";"";"38";"1.1.23.3";"14";"1";"ganador adulto-38-";"";"2018-04-06 20:13:24";"2018-04-07 14:22:58";"2013-10-26 21:44:12";"C";"2018-04-07 14:22:58"
"                    39";"";"39";"1.1.23.3";"14";"1";"Ganador Premi cachorro-39-";"";"2018-01-30 13:15:25";"2018-04-08 17:37:38";"2014-06-01 23:41:25";"C";"2018-04-08 17:37:38"
"                    4";"";"4";"1.5.2";"14";"1181";"Jamon Fud  PIERNA  - 4-";"";"2018-04-06 20:13:24";"2018-04-08 10:43:49";"2012-09-19 16:54:57";"C";"2018-04-08 10:43:49"
"                    40";"";"40";"1.1.18.1";"2";"1";"Bonafina sabores 100ml";"";"2015-08-01 13:07:25";"2018-03-11 09:12:43";"2014-03-29 09:21:30";"C";"2018-03-11 09:12:43"
"                    4400";"";"4400";"1.1.6.5";"9";"1";"valentina amarilla 250ml-4400-";"";"2018-02-13 17:34:09";"2018-02-24 17:51:31";"2017-01-09 00:12:46";"C";"2018-02-24 17:51:31"
"                    49";"";"49";"1.1.9.1";"14";"898";"azucar estandar  49";"";"2018-04-08 14:01:59";"2018-04-08 21:16:39";"2012-09-28 23:46:30";"C";"2018-04-08 21:16:39"
"                    5";"";"5";"1.5.12";"1";"1";"Queso AMARILLO CHIPI   - 5-";"";;"2018-04-06 19:52:22";"2012-09-26 14:13:28";"C";"2018-04-06 19:52:22"
"                    54";"";"54";"1.1.1.6";"2";"746";"Pan ideal   8.50    54";"";;"2018-03-19 00:20:50";"2012-09-29 09:52:08";"C";"2018-03-19 00:20:50"
"                    6";"";"6";"1.5.12";"14";"1494";"Queso Oaxaca    -6-";"";"2018-04-08 14:01:59";"2018-04-08 20:25:04";"2012-09-19 18:15:52";"C";"2018-04-08 20:25:04"
"                    600";"";"600";"1.1.7.1";"14";"1";"arroz SINALOA -600-";"";"2018-03-23 21:02:31";"2018-04-08 19:16:25";"2012-10-23 21:10:30";"C";"2018-04-08 19:16:25"
"                    601";"";"601";"1.1.7.1";"14";"1";"palomero  -601-";"";"2018-03-23 14:46:59";"2018-04-08 16:21:33";"2012-10-23 21:12:18";"C";"2018-04-08 16:21:33"
"                    602";"";"602";"1.1.7.1";"14";"1";"alpiste simple  -602-";"";"2018-04-08 20:42:45";"2018-04-05 14:35:09";"2012-10-23 21:16:42";"C";"2018-04-08 21:18:37"
"                    603";"";"603";"1.1.7.1";"14";"1";"alpiste compuesto -603-";"";"2018-01-09 15:28:25";"2018-02-03 18:42:25";"2012-10-23 22:56:28";"C";"2018-02-03 18:42:25"
"                    608";"";"608";"1.1.7.1";"14";"1";"GIRASOL SEMILLA -608-";"";"2018-04-08 20:42:45";"2018-04-06 19:57:57";"2012-11-18 14:14:40";"C";"2018-04-08 21:18:38"
"                    609";"";"609";"1.1.7.1";"14";"1";"LENTEJA -609-";"";"2018-03-13 20:03:29";"2018-04-03 15:07:14";"2012-11-18 14:17:27";"C";"2018-04-03 15:07:14"
"                    61";"";"61";"1.1.4.6";"2";"1501";"galleta suelta 4.00   -61-";"";"2018-02-28 12:31:15";"2018-04-07 19:14:07";"2012-10-22 20:24:07";"C";"2018-04-07 19:14:07"
"                    620";"";"620";"1.1.7.13";"4";"1";"Maiz pozolero cualquiera-620-";"";"2017-12-31 13:16:40";"2018-04-06 12:48:30";"2012-11-16 22:41:35";"C";"2018-04-06 12:48:30"
"                    621";"";"621";"1.1.7.13";"14";"1";"maiz quebrado-621-";"";"2018-03-23 21:02:31";"2018-04-05 20:03:44";"2012-12-03 20:47:27";"C";"2018-04-05 20:03:44"
"                    650";"";"650";"1.11.10";"3";"1";"CHAROLA CHI -650-";"";"2018-03-25 13:24:14";"2018-04-08 18:55:08";"2012-11-17 23:03:12";"C";"2018-04-08 18:55:08"
"                    651";"";"651";"1.11.10";"3";"1";"CHAROLA GRANDE-651-";"";"2018-03-25 13:24:14";"2018-04-01 17:35:08";"2012-11-17 22:58:30";"C";"2018-04-01 17:35:08"
"                    67";"";"67";"1.1.5.1";"2";"630";"canela  Jet  - 67-";"";"2018-04-08 20:42:45";"2018-04-07 21:20:37";"2012-10-17 21:43:42";"C";"2018-04-08 21:18:40"
"                    69";"";"69";"1.1.1.13";"14";"147";"TORTILLA HARINA SUELTA-69-";"";"2018-04-08 14:01:59";"2018-04-08 17:25:52";"2012-10-17 21:55:10";"C";"2018-04-08 17:25:52"
"                    690";"";"690";"1.11.10";"2";"1054";"VELA SUELTA   -690-";"";"2017-11-10 12:28:00";"2018-04-07 13:16:28";"2012-10-17 21:08:08";"C";"2018-04-07 13:16:28"
"                    7";"";"7";"1.5.12";"14";"218";"Queso Canasto Chil -7-";"";"2018-04-07 12:23:36";"2018-04-08 17:27:08";"2012-09-19 18:17:27";"C";"2018-04-08 17:27:08"
"                    700";"";"700";"1.1.20.4";"2";"241";"YAKUL  -700-";"";"2018-03-26 20:02:50";"2018-04-08 19:59:33";"2012-10-25 17:27:35";"C";"2018-04-08 19:59:33"
"                    72";"";"72";"1.9.3";"2";"1";"pañal Bebin chico -72-small";"";"2017-03-04 16:52:02";"2018-01-28 14:51:58";"2013-12-24 16:05:12";"C";"2018-01-28 14:51:58"
"                    73";"";"73";"1.9.3";"2";"764";"pañal bebin mediano-73-";"";"2017-12-14 12:39:22";"2018-03-19 11:09:51";"2012-10-17 18:26:09";"C";"2018-03-19 11:09:51"
"                    74";"";"74";"1.9.3";"2";"764";"pañal absorsec Gde 4/40 -74-";"";"2017-07-30 09:21:08";"2018-01-25 21:31:38";"2012-10-17 18:29:57";"C";"2018-01-25 21:31:38"
"                    75";"";"75";"1.9.3";"2";"764";"pañal Absorsec jumbo-75-";"";"2018-04-07 12:23:36";"2018-04-06 20:38:25";"2012-10-17 18:36:53";"C";"2018-04-07 13:46:14"
"                    76";"";"76";"1.9.3";"2";"679";"pañal suve chico-76-";"";"2016-02-16 21:46:53";"2018-04-08 15:21:19";"2012-10-17 18:41:10";"C";"2018-04-08 15:21:19"
"                    77";"";"77";"1.9.3";"2";"679";"pañal suave medi-77-";"";"2018-03-16 21:51:05";"2018-03-22 16:03:19";"2012-10-17 18:45:54";"C";"2018-03-22 16:03:19"
"                    78";"";"78";"1.9.3";"2";"679";"pañal suave grande-78-";"";"2018-03-04 14:01:24";"2018-04-04 09:11:34";"2012-10-17 18:48:40";"C";"2018-04-04 09:11:34"
"                    8";"";"8";"1.5.12";"14";"218";"Queso Doble Crem -8-";"";"2018-04-07 12:23:36";"2018-04-08 21:02:34";"2012-09-19 18:18:44";"C";"2018-04-08 21:02:34"
"                    801";"";"801";"1.1.10.12";"14";"1";"TAMARINDO-801-";"";"2017-03-21 20:39:57";"2018-03-20 15:06:09";"2012-11-16 10:06:53";"C";"2018-03-20 15:06:09"
"                    802";"";"802";"1.1.10.12";"14";"1";"JAMAICA  -802-";"";"2018-02-26 15:25:46";"2018-04-07 09:45:04";"2012-11-18 14:23:04";"C";"2018-04-07 09:45:04"
"                    804";"";"804";"1.1.10.12";"14";"1";"PILONCILLO -804-";"";"2018-03-03 15:35:36";"2018-04-04 18:37:15";"2012-11-18 14:51:45";"C";"2018-04-04 18:37:15"
"                    81";"";"81";"1.1.11.3";"2";"1";"pañal Huggies 6 -81-";"";"2018-02-05 15:02:03";"2018-03-24 21:05:28";"2013-08-13 13:02:47";"C";"2018-03-24 21:05:28"
"                    810";"";"810";"1.1.10.10";"14";"1";"ARBOL SECO -810- chile";"";"2018-03-11 10:43:03";"2018-04-05 16:36:14";"2012-11-18 14:54:45";"C";"2018-04-05 16:36:14"
"                    811";"";"811";"1.1.10.10";"14";"1";"PASILLA SECO -811-";"";"2018-03-09 12:16:51";"2018-04-08 21:17:26";"2012-11-18 14:56:39";"C";"2018-04-08 21:17:26"
"                    812";"";"812";"1.1.10.10";"14";"1";"GUAJILLO SECO -812-";"";"2018-03-23 14:46:59";"2018-04-07 15:51:03";"2012-11-18 15:05:26";"C";"2018-04-07 15:51:03"
"                    813";"";"813";"1.1.10.10";"14";"1";"PULLA SECO -813-";"";"2017-11-22 21:15:21";"2018-04-08 20:02:47";"2012-11-18 15:09:10";"C";"2018-04-08 20:02:47"
"                    814";"";"814";"1.1.10.10";"14";"1";"MORITA SECO -814-";"";"2018-02-28 12:31:15";"2018-04-06 12:03:45";"2012-11-18 15:10:41";"C";"2018-04-06 12:03:45"
"                    816";"";"816";"1.1.10.10";"14";"1";"Ancho SECO-816-";"";"2018-01-26 18:22:46";"2018-04-08 21:17:26";"2012-05-25 10:30:03";"C";"2018-04-08 21:17:26"
"                    840";"";"840";"1.1.10.5";"4";"1";"Especies-840-";"";"2017-06-05 16:31:03";"2018-01-24 16:53:19";"2013-08-24 15:44:17";"C";"2018-01-24 16:53:19"
"                    852";"";"852";"1.1.5.3";"2";"1";"Te a HIERBABUENA-852-";"";"2013-07-30 14:49:27";"2018-03-06 21:02:36";"2012-11-16 22:33:03";"C";"2018-03-06 21:02:36"
"                    87";"";"87";"1.11.10";"2";"1";"PALILLOS -87-";"";"2018-03-14 15:50:35";"2018-04-07 16:12:36";"2012-11-18 11:11:40";"C";"2018-04-07 16:12:36"
"                    9";"";"9";"1.5.12";"14";"555";"Queso Panela  -9-";"";"2018-04-07 12:23:36";"2018-04-08 12:45:04";"2012-09-19 18:20:31";"C";"2018-04-08 12:45:04"
"                    90";"";"90";"1.1.16.1";"2";"1415";"Cigarro de 3.00-90-";"";"2018-04-07 21:46:35";"2018-04-08 21:00:24";"2012-09-23 10:34:39";"C";"2018-04-08 21:00:24"
"                    900";"";"900";"1.19.1";"2";"1";"tutsi paleta -900-";"";"2018-04-07 12:23:36";"2018-04-07 16:11:49";"2013-02-02 22:22:29";"C";"2018-04-07 16:11:49"
"                    91";"";"91";"1.1.16.1";"2";"1498";"Cigarro 3.50-91-";"";"2018-04-07 21:24:23";"2018-04-08 20:36:43";"2012-09-23 10:40:33";"C";"2018-04-08 20:36:43"
"                    911";"";"911";"1.19.1";"2";"396";"paleta vero 2.00-911-";"";"2017-06-18 10:19:54";"2018-01-28 18:54:09";"2015-10-24 14:24:57";"C";"2018-01-28 18:54:09"
"                    92";"";"92";"1.1.16.1";"2";"235";"Cigarro 4.00-92-";"";"2018-04-08 17:06:23";"2018-04-08 21:35:10";"2012-09-23 10:42:21";"C";"2018-04-08 21:35:10"
"                    93";"";"93";"1.1.16.3";"2";"697";"cerillos clasicas  93";"";"2018-03-19 13:17:16";"2018-04-08 14:40:44";"2012-10-18 09:41:29";"C";"2018-04-08 14:40:44"
"                    95";"";"95";"1.11.10";"2";"212";"bolsa negra grand   95";"";"2018-04-01 10:48:58";"2018-04-06 20:56:57";"2012-10-17 21:01:28";"C";"2018-04-06 20:56:57"
"                    950";"";"950";"1.1.18.3";"2";"1";"garrafon vacio/ch Bonafon -950-";"";"2018-04-07 14:28:18";"2018-04-06 12:30:37";"2013-08-03 00:04:23";"C";"2018-04-07 14:35:54"
"                    96";"";"96";"1.11.10";"2";"212";"bolsa negra  chica   96";"";"2018-03-23 21:02:31";"2018-04-08 20:42:27";"2012-10-17 20:59:42";"C";"2018-04-08 20:42:27"
"                    97";"";"97";"1.11.10";"2";"212";"Cuchara suelta  -97-";"";;"2018-04-08 12:42:29";"2012-10-17 20:56:47";"C";"2018-04-08 12:42:29"
"                    99";"";"99";"1.11.10";"2";"212";"VASO SUELTO unicel o plastico    -99-";"";;"2018-04-08 22:27:18";"2012-10-17 21:05:02";"C";"2018-04-08 22:27:18"
"                    999";"";"999";"1.19.2";"2";"880";"Crunch moneda";"";"2015-05-09 18:24:27";"2018-04-01 18:08:47";"2015-05-09 18:26:48";"C";"2018-04-01 18:08:47"
"010900000406        ";"010900000406";"";"1.1.13.1";"6";"200";"Papel Aluminio Reynolds Wrap de 7.6m";"";"2018-02-10 20:42:09";"2018-04-06 18:46:55";"2012-05-25 10:30:03";"C";"2018-04-06 18:46:55"
"011848455570        ";"011848455570";"";"1.1.6.9";"6";"705";"Achiote La Anita 110g";"";"2018-02-25 21:40:53";"2018-03-11 21:30:32";"2012-05-25 10:30:03";"C";"2018-03-11 21:30:32"
"014800515329        ";"014800515329";"";"1.1.18.2";"11";"143";"Clamato 473ml";"";"2018-04-06 15:37:30";"2018-04-04 10:37:39";"2012-05-25 10:30:03";"C";"2018-04-06 15:47:20"
"014800515336        ";"014800515336";"";"1.1.18.2";"8";"143";"Clamato 946ml";"";"2018-01-12 14:36:20";"2018-03-31 16:54:28";"2012-05-25 10:30:03";"C";"2018-03-31 16:54:28"
"019836102611        ";"019836102611";"";"1.999";"1";"1";"boing de mango 250ml";"";"2018-03-27 17:13:47";"2018-04-06 16:43:47";"2015-01-03 22:24:16";"C";"2018-04-06 16:43:47"
"019836102628        ";"019836102628";"";"1.1.18.2";"1";"1";"boimg de guayaba 250ml";"";"2018-03-27 17:13:47";"2018-04-08 13:10:49";"2015-01-17 22:01:59";"C";"2018-04-08 13:10:49"
"019836102659        ";"019836102659";"";"1.1.18.2";"2";"1502";"boing manzana 250ml mas";"";"2018-03-27 17:13:47";"2018-04-08 14:35:25";"2015-05-03 08:46:49";"C";"2018-04-08 14:35:25"
"019836102666        ";"019836102666";"";"1.999";"1";"1";"boing de uva 250ml";"";"2018-03-27 17:13:47";"2018-04-08 14:35:25";"2015-01-03 22:24:55";"C";"2018-04-08 14:35:25"
"019836103014        ";"019836103014";"";"1.999";"1";"1";"boing mas fruta mango";"";"2018-03-18 21:11:01";"2018-04-08 14:45:32";"2015-02-20 22:09:13";"C";"2018-04-08 14:45:32"
"019836103021        ";"019836103021";"";"1.1.18.2";"2";"1502";"boing guayaba 500ml";"";"2018-03-23 14:46:59";"2018-04-08 20:58:37";"2015-01-21 22:12:05";"C";"2018-04-08 20:58:37"
"019836103052        ";"019836103052";"";"1.1.18.2";"19";"1";"boing mas fruta manzana 500ml";"";"2018-03-23 14:46:59";"2018-04-08 15:42:45";"2015-02-20 22:08:35";"C";"2018-04-08 15:42:45"
"019836103069        ";"019836103069";"";"1.999";"1";"1";"boing uva 500ml";"";"2018-03-23 14:46:59";"2018-04-08 16:22:48";"2015-01-21 22:13:08";"C";"2018-04-08 16:22:48"
"019836103410        ";"019836103410";"";"1.999";"1";"1";"boing mango L";"";"2018-01-20 21:25:52";"2018-02-04 17:23:39";"2015-02-20 22:10:04";"C";"2018-02-04 17:23:39"
"019836103427        ";"019836103427";"";"1.1.18.2";"2";"1502";"boing guayaba litro mas";"";"2018-03-19 21:23:19";"2018-04-05 09:21:11";"2015-05-03 08:44:40";"C";"2018-04-05 09:21:11"
"019836103458        ";"019836103458";"";"1.999";"1";"1";"boing manzanaL";"";"2017-12-25 18:59:36";"2018-01-17 20:06:24";"2015-02-20 22:10:37";"C";"2018-01-17 20:06:24"
"019836103465        ";"019836103465";"";"1.999";"1";"1";"boimg uva 1l";"";"2018-01-31 16:14:15";"2018-04-06 19:53:10";"2014-12-27 22:19:58";"C";"2018-04-06 19:53:10"
"019836202021        ";"019836202021";"";"1.1.18.14";"9";"1502";"Lulu Limon 3L";"";"2018-04-07 12:23:36";"2018-03-30 16:17:44";"2012-09-18 15:10:26";"C";"2018-04-07 13:46:13"
"019836202038        ";"019836202038";"";"1.1.18.14";"9";"1502";"Lulu Naranja 3Litros";"";"2018-04-07 12:23:36";"2018-03-31 17:53:02";"2012-10-18 17:16:32";"C";"2018-04-07 13:46:13"
"019836202045        ";"019836202045";"";"1.1.18.14";"9";"1502";"Lulu roja 3 Litros";"";"2018-04-07 12:23:36";"2018-04-08 19:30:23";"2012-09-27 13:12:25";"C";"2018-04-08 19:30:23"
"019836202052        ";"019836202052";"";"1.1.18.14";"2";"1502";"Lulu manzana 3 litros";"";"2018-04-07 12:23:36";"2018-03-17 20:14:49";"2012-09-27 21:16:45";"C";"2018-04-07 13:46:13"
"019836202069        ";"019836202069";"";"1.1.18.14";"9";"1093";"Lulu uva 3 litros";"";"2018-04-07 12:23:36";"2018-04-08 17:09:37";"2012-09-27 21:14:28";"C";"2018-04-08 17:09:37"
"019836202076        ";"019836202076";"";"1.1.18.14";"9";"1093";"Lulu piña 3litros";"";"2018-03-28 18:01:01";"2018-04-06 19:20:11";"2012-09-30 20:24:18";"C";"2018-04-06 19:20:11"
"02204309            ";"02204309";"";"1.19.1";"2";"1";"Orbit fresa 5.6g";"";"2017-10-04 11:44:26";"2018-04-08 10:04:59";"2014-05-24 21:40:19";"C";"2018-04-08 10:04:59"
"02261003            ";"02261003";"";"1.19.1";"2";"1";"Orbit hierbabuena 5.6g";"";"2018-02-02 14:20:31";"2018-04-08 10:04:59";"2014-11-22 21:07:20";"C";"2018-04-08 10:04:59"
"02526719            ";"02526719";"";"1.19.2";"2";"546";"Duvalin Trisabor 15g";"";"2017-08-29 11:42:48";"2018-01-03 15:50:16";"2012-05-25 10:30:03";"C";"2018-01-03 15:50:16"
"032239052000        ";"032239052000";"";"1.1.18.2";"9";"343";"Nectar Mango Del Valle 413ml";"";"2018-04-04 16:02:32";"2018-04-08 11:09:17";"2012-05-25 10:30:03";"C";"2018-04-08 11:09:17"
"032239052017        ";"032239052017";"";"1.1.18.2";"9";"647";"Jugo de Durazno Del Valle 413ml";"";"2018-04-04 16:02:32";"2018-04-07 14:24:08";"2012-05-25 10:30:03";"C";"2018-04-07 14:24:08"
"034587030013        ";"034587030013";"";"1.1.10.1";"4";"1145";"Sal Refinada La Fina 1kg";"";"2018-04-01 15:27:27";"2018-04-08 11:11:25";"2012-05-25 10:30:03";"C";"2018-04-08 11:11:25"
"036731106018        ";"036731106018";"";"1.1.18.9";"9";"1012";"Gatorade Naranja 750ml";"";"2017-11-24 11:33:52";"2018-04-02 16:55:59";"2012-05-25 10:30:03";"C";"2018-04-02 16:55:59"
"036731106025        ";"036731106025";"";"1.1.18.9";"9";"1012";"Gatorade Limon 600ml";"";"2018-01-31 12:59:20";"2018-04-08 09:58:39";"2012-05-25 10:30:03";"C";"2018-04-08 09:58:39"
"036731106032        ";"036731106032";"";"1.1.18.9";"9";"1012";"Gatorade Lima Limon 750ml";"";"2017-11-24 11:33:52";"2018-03-27 11:24:21";"2012-05-25 10:30:03";"C";"2018-03-27 11:24:21"
"036731106049        ";"036731106049";"";"1.1.18.9";"9";"1012";"Gatorade Sport Uva 600ml";"";"2018-03-20 21:05:39";"2018-04-07 11:02:36";"2012-05-25 10:30:03";"C";"2018-04-07 11:02:36"
"036731106063        ";"036731106063";"";"1.1.18.9";"1";"1";"Gatorade ponche f.600ml";"";"2018-02-23 11:28:51";"2018-04-02 18:59:28";"2014-01-10 11:29:33";"C";"2018-04-02 18:59:28"
"036731135513        ";"036731135513";"";"1.1.2.3";"12";"554";"Avena Quaker Oats 475g";"";"2017-03-24 13:32:04";"2018-01-11 19:28:39";"2012-05-25 10:30:03";"C";"2018-01-11 19:28:39"
"036731136916        ";"036731136916";"";"1.999";"1";"1";"gatorade mora";"";"2017-09-27 13:56:23";"2018-02-04 15:15:35";"2013-03-08 21:30:08";"C";"2018-02-04 15:15:35"
"036731321008        ";"036731321008";"";"1.1.18.9";"8";"1012";"Gatorade Naranja 1L";"";"2018-03-21 13:09:09";"2018-04-08 16:20:43";"2012-05-25 10:30:03";"C";"2018-04-08 16:20:43"
"036731322005        ";"036731322005";"";"1.1.18.9";"8";"1012";"Gatorade Limonada 1L";"";"2018-02-07 11:46:23";"2018-04-02 20:43:19";"2012-05-25 10:30:03";"C";"2018-04-02 20:43:19"
"036731323002        ";"036731323002";"";"1.1.18.9";"8";"1012";"Gatorade Lima-Limon 1L";"";"2018-03-21 13:09:09";"2018-04-02 19:37:20";"2012-05-25 10:30:03";"C";"2018-04-02 19:37:20"
"036731324009        ";"036731324009";"";"1.1.18.9";"8";"1012";"Gatorade Uva 1L";"";"2018-03-20 21:05:39";"2018-04-08 16:36:44";"2012-05-25 10:30:03";"C";"2018-04-08 16:36:44"
"036731326003        ";"036731326003";"";"1.1.18.9";"8";"1012";"Gatorade Ponche de Frutas 1L";"";"2018-04-03 19:19:49";"2018-04-08 11:55:06";"2012-05-25 10:30:03";"C";"2018-04-08 11:55:06"
"036731501004        ";"036731501004";"";"1.1.18.9";"8";"1012";"Gatorade Naranja 500ml";"";"2018-03-20 21:05:39";"2018-04-06 19:31:24";"2012-05-25 10:30:03";"C";"2018-04-06 19:31:24"
"036731502001        ";"036731502001";"";"1.1.18.9";"8";"1012";"Gatorade Limonada 500ml";"";"2017-09-27 14:21:56";"2018-03-21 17:28:27";"2012-05-25 10:30:03";"C";"2018-03-21 17:28:27"
"036731506009        ";"036731506009";"";"1.1.18.9";"8";"1012";"Gatorade Ponche de Frutas 500ml";"";"2017-07-19 15:15:33";"2018-01-11 19:31:56";"2012-05-25 10:30:03";"C";"2018-01-11 19:31:56"
"038000148019        ";"038000148019";"";"1.1.4.6";"2";"658";"Nut Bar aran-almendra 33g";"";"2018-02-02 13:13:17";"2018-03-05 17:33:04";"2018-02-02 13:23:50";"C";"2018-03-05 17:33:04"
"038000148040        ";"038000148040";"";"1.1.4.6";"2";"658";"Nut Bar choc-almendra 33g";"";"2018-02-02 13:13:17";"2018-03-05 17:33:04";"2018-02-02 13:21:28";"C";"2018-03-05 17:33:04"
"038629001702        ";"038629001702";"";"1.1.4.4";"2";"1001";"marianitas  nuez 185 g";"";"2018-02-25 21:40:53";"2018-03-30 19:25:26";"2018-02-25 21:54:35";"C";"2018-03-30 19:25:26"
"038629002068        ";"038629002068";"";"1.1.4.4";"2";"1001";"marianitas coco 185 g";"";"2018-02-25 21:40:53";"2018-03-02 00:31:33";"2018-02-25 21:56:07";"C";"2018-03-02 00:31:33"
"038629002075        ";"038629002075";"";"1.1.4.4";"2";"1001";"marianitas naranja 185 g";"";"2018-02-25 21:40:53";"2018-03-30 19:25:26";"2018-02-25 21:53:05";"C";"2018-03-30 19:25:26"
